,Airport,City,City_Name,Des,DesCity,DesCity_Name
1145,IST,IST,ISTANBUL,STL,STL,ISTANBUL
2239,SAW,IST,ISTANBUL,STL,STL,ISTANBUL
1143,ISL,IST,ISTANBUL,STN,LON,ISTANBUL
1145,IST,IST,ISTANBUL,STN,LON,ISTANBUL
2239,SAW,IST,ISTANBUL,STN,LON,ISTANBUL
1143,ISL,IST,ISTANBUL,STR,STR,ISTANBUL
1145,IST,IST,ISTANBUL,STR,STR,ISTANBUL
2239,SAW,IST,ISTANBUL,STR,STR,ISTANBUL
1143,ISL,IST,ISTANBUL,SVO,MOW,ISTANBUL
1145,IST,IST,ISTANBUL,SVO,MOW,ISTANBUL
2239,SAW,IST,ISTANBUL,SVO,MOW,ISTANBUL
1143,ISL,IST,ISTANBUL,SVX,SVX,ISTANBUL
1145,IST,IST,ISTANBUL,SVX,SVX,ISTANBUL
2239,SAW,IST,ISTANBUL,SVX,SVX,ISTANBUL
1143,ISL,IST,ISTANBUL,SXB,SXB,ISTANBUL
1145,IST,IST,ISTANBUL,SXB,SXB,ISTANBUL
2239,SAW,IST,ISTANBUL,SXB,SXB,ISTANBUL
1143,ISL,IST,ISTANBUL,SXF,BER,ISTANBUL
1145,IST,IST,ISTANBUL,SXF,BER,ISTANBUL
2239,SAW,IST,ISTANBUL,SXF,BER,ISTANBUL
1143,ISL,IST,ISTANBUL,SYD,SYD,ISTANBUL
1145,IST,IST,ISTANBUL,SYD,SYD,ISTANBUL
2239,SAW,IST,ISTANBUL,SYD,SYD,ISTANBUL
1143,ISL,IST,ISTANBUL,SZB,KUL,ISTANBUL
1145,IST,IST,ISTANBUL,SZB,KUL,ISTANBUL
2239,SAW,IST,ISTANBUL,SZB,KUL,ISTANBUL
1143,ISL,IST,ISTANBUL,SZG,SZG,ISTANBUL
1145,IST,IST,ISTANBUL,SZG,SZG,ISTANBUL
2239,SAW,IST,ISTANBUL,SZG,SZG,ISTANBUL
1143,ISL,IST,ISTANBUL,TAO,TAO,ISTANBUL
1145,IST,IST,ISTANBUL,TAO,TAO,ISTANBUL
2239,SAW,IST,ISTANBUL,TAO,TAO,ISTANBUL
1143,ISL,IST,ISTANBUL,TAS,TAS,ISTANBUL
1145,IST,IST,ISTANBUL,TAS,TAS,ISTANBUL
2239,SAW,IST,ISTANBUL,TAS,TAS,ISTANBUL
1143,ISL,IST,ISTANBUL,TBS,TBS,ISTANBUL
1145,IST,IST,ISTANBUL,TBS,TBS,ISTANBUL
2239,SAW,IST,ISTANBUL,TBS,TBS,ISTANBUL
